f,Via(318MHz),No_via(287)
255000000,0.718576553,0.939802011
255500000,0.723069021,0.938907259
256000000,0.728617706,0.937966121
256500000,0.735064833,0.93697619
257000000,0.742239051,0.935934863
257500000,0.749967881,0.93483935
258000000,0.758087026,0.933686647
258500000,0.766446226,0.93247352
259000000,0.774912014,0.931196484
259500000,0.783368818,0.929851778
260000000,0.791718965,0.928435342
260500000,0.799882365,0.926942788
261000000,0.807795984,0.925369368
261500000,0.81541325,0.923709942
262000000,0.822703019,0.921958929
262500000,0.829648332,0.920110283
263000000,0.836244508,0.918157431
263500000,0.842496782,0.916093224
264000000,0.84841757,0.913909878
264500000,0.854023508,0.911598907
265000000,0.859332768,0.909151045
265500000,0.864362775,0.906556169
266000000,0.869128942,0.903803203
266500000,0.873644142,0.900880011
267000000,0.877918983,0.897773284
267500000,0.881962491,0.8944684
268000000,0.88578288,0.890949282
