"Freq [MHz]","re(Zt(Rectangle3_T1,Rectangle3_T1)) []","im(Zt(Rectangle3_T1,Rectangle3_T1)) []"
207,5.41683995879523,-211.940480281286
207.5,4.74628998853354,-198.218605365823
208,4.14024366560783,-184.626865896252
208.5,3.59728655737875,-171.149681712307
209,3.11629461496062,-157.771860183896
209.5,2.69642526410449,-144.478538395199
210,2.33711090935593,-131.255127765289
210.5,2.0380547559415,-118.087260677805
211,1.79922888630116,-104.96073871775
211.5,1.62087455920587,-91.8614821340111
212,1.50350472960962,-78.7754801619679
212.5,1.44790881740805,-65.6887418520365
213,1.45515978370021,-52.5872470572564
213.5,1.52662360460846,-39.4568972364296
214,1.66397126582464,-26.2834657287495
214.5,1.86919343649178,-13.0525471515786
215,2.14461801956785,0.250494435150213
215.5,2.49293081822182,13.64057896646
216,2.91719960506494,27.1329657963977
216.5,3.4209019341501,40.7433115135026
217,4.00795709590377,54.4877305771248
217.5,4.68276268395436,68.3828592333954
218,5.45023632184986,82.4459232038988
218.5,6.31586318892089,96.6948096797123
219,7.28575009042297,111.148144198867
219.5,8.36668694043009,125.825373036796
220,9.56621667015455,140.746851797477
220.5,10.892714743514,155.93394095821
221,12.3554796608674,171.409109193643
221.5,13.9648360668419,187.196045385212
222,15.7322523563835,203.319780310687
222.5,17.6704750035019,219.806819105239
223,19.7936822304401,236.685285689666
223.5,22.1176601045462,253.985080472738
224,24.6600047122451,271.738052751026
224.5,27.4403547343554,289.978189348583
225,30.4806595593869,308.741821156131
225.5,33.805489052169,328.067849338296
226,37.4423922823327,347.997993068248
226.5,41.422313958248,368.577060707426
227,45.7800790661529,389.853246353137
227.5,50.5549583552681,411.878453598717
228,55.7913299299569,434.708648147083
228.5,61.5394554252721,458.404240528024
229,67.8563931974256,483.030499506124
229.5,74.8070758377297,508.657995707439
230,82.4655853452914,535.363073365092
230.5,90.9166667551525,563.228345640421
231,100.257530270469,592.343205367066
231.5,110.600003430645,622.804337792093
232,122.073109105145,654.716214241148
232.5,134.826162794401,688.191534599206
233,149.032504630476,723.351570623307
233.5,164.894008507618,760.326339306146
234,182.646543928259,799.254502796493
234.5,202.566606402915,840.28284444606
235,224.979380346685,883.565103186347
235.5,250.268554470529,929.259851705694
236,278.888272305099,977.526964950536
236.5,311.377665380698,1028.52202593566
237,348.378473697717,1082.38772963154
237.5,390.656286936107,1139.24093630534
238,439.125900922904,1199.15344325417
238.5,494.881104341858,1262.12372296366
239,559.228759840318,1328.03573672977
239.5,633.726093129389,1396.59939324535
240,720.218264913714,1467.26523192125
240.5,820.869935543339,1539.10354321372
241,938.17864559265,1610.63578711161
241.5,1074.94800092392,1679.60496139849
242,1234.18314731933,1742.67412440223
242.5,1418.84862603953,1795.0539580897
243,1631.40111146197,1830.09072683462
243.5,1872.98699347111,1838.90969650761
244,2142.20626660072,1810.32034250834
244.5,2433.44875887374,1731.34287344511
245,2735.08850505061,1588.83966449268
245.5,3028.31008906295,1372.63611702614
246,3287.84158605033,1079.90423181421
246.5,3485.79079347291,719.377631699844
247,3598.43263526521,312.851343738561
247.5,3613.45903992729,-108.151003152532
248,3533.85402102793,-510.001480145097
248.5,3376.1473477031,-865.310737002603
249,3164.35255003043,-1157.99436509069
249.5,2923.13410260883,-1383.61768893928
250,2673.08163479669,-1546.4267068349
250.5,2428.85842219209,-1655.42884083622
251,2199.45902073959,-1721.16104466633
251.5,1989.44636495229,-1753.67825797427
252,1800.35213282411,-1761.60467403399
252.5,1631.84976190673,-1751.87584567375
253,1482.59881432224,-1729.84189070147
253.5,1350.7955145634,-1699.51528334251
254,1234.50449393648,-1663.84562369154
254.5,1131.84340263744,-1624.96822101943
255,1041.07517432887,-1584.40880084754
255.5,960.645484765226,-1543.24357380181
256,889.189471598907,-1502.22060901377
256.5,825.522430482622,-1461.8501456829
257,768.623132528119,-1422.47101205306
257.5,717.614636965458,-1384.29912385758
258,671.745205266733,-1347.46274424089
258.5,630.370598282844,-1312.02805204471
259,592.938287488728,-1278.0176514394
259.5,558.973702829027,-1245.42395398831
260,528.068430289683,-1214.21883964667
260.5,499.870176386175,-1184.36061741155
261,474.074283459967,-1155.79902530888
261.5,450.41657940981,-1128.47880575349
262,428.667361315287,-1102.3422451016
262.5,408.626334872702,-1077.33095985346
263,390.118355557665,-1053.3871350665
263.5,372.989840362853,-1030.45436485786
264,357.105739657817,-1008.47820447309
264.5,342.346976780954,-987.406514012584
265,328.608278409998,-967.189652479849
265.5,315.796331769709,-947.780565152624
266,303.828215607918,-929.134795798752
266.5,292.630060902896,-911.21044682807
267,282.135904741115,-893.968104266618
267.5,272.286706979962,-877.370739865296
268,263.029504406713,-861.383599278878
268.5,254.316681310751,-845.974082757429
269,246.105338858753,-831.11162294973
269.5,238.356748532472,-816.767563058241
270,231.035877264123,-802.91503758231
270.5,224.110973873283,-789.528857149179
271,217.553208044519,-776.585398392342
271.5,211.336354445471,-764.062499443796
272,205.436515719832,-751.939361322767
272.5,199.831879037648,-740.196455300874
273,194.502501679451,-728.815436181231
273.5,189.430121797216,-717.779061331348
274,184.597991055823,-707.071115244827
274.5,179.990726331479,-696.676339366387
275,175.594178043157,-686.580366891765
275.5,171.395313031417,-676.769662243988
276,167.382110186372,-667.231464926331
276.5,163.543467270892,-657.953737457678
277,159.869117593551,-648.925117105548
277.5,156.349555363913,-640.134871144486
278,152.97596871514,-631.572855381701
278.5,149.740179509864,-623.229475706843
279,146.634589157594,-615.095652438226
279.5,143.652129768963,-607.16278725307
280,140.786220055726,-599.422732504284
280.5,138.030725457757,-591.867762740658
281,135.379922041045,-584.490548260965
281.5,132.828463765059,-577.284130545469
282,130.371352765259,-570.241899420334
282.5,128.003912337702,-563.357571821827
283,125.721762348789,-556.625172037682
283.5,123.520796824568,-550.039013312759
284,121.397163501676,-543.59368071513
284.5,119.347245146099,-537.284015167057
285,117.367642467254,-531.105098552993
285.5,115.455158473509,-525.052239823772
286,113.606784131808,-519.120962022637
286.5,111.819685208592,-513.30699016472
287,110.091190182016,-507.606239907038
287.5,108.41877912693,-502.014806951068
288,106.800073484122,-496.528957124576
288.5,105.232826634272,-491.145117093594
289,103.714915205101,-485.859865659259
289.5,102.244331047193,-480.669925597829
290,100.819173820357,-475.572156005387
290.5,99.4376441380102,-470.563545111754
291,98.0980372220879,-465.641203530844
291.5,96.7987370255257,-460.802357917216
292,95.538210783364,-456.044345000865
292.5,94.3150039571712,-451.364605974407
293,93.1277355407189,-446.760681208765
293.5,91.9750936977718,-442.230205275226
294,90.855831705482,-437.770902253385
294.5,89.768764179252,-433.380581306009
295,88.7127635570503,-429.057132503213
295.5,87.686756823123,-424.798522879632
296,86.6897224527572,-420.602792709454
296.5,85.7206875613465,-416.468051985233
297,84.7787252424387,-412.392477087419
297.5,83.8629520807198,-408.374307632461
298,82.9725258271034,-404.411843488165
298.5,82.1066432241088,-400.503441945796
299,81.2645379707325,-396.647515039113
299.5,80.4454788168613,-392.842527001208
300,79.6487677781084,-389.086991850627
300.5,78.8737384626622,-385.379471098827
301,78.1197545024305,-381.718571571539
301.5,77.3862080813458,-378.1029433371
302,76.672518554293,-374.531277735281
302.5,75.978131150593,-371.00230550052
303,75.3025157564682,-367.514794973902
303.5,74.6451657713432,-364.067550398542
304,74.0055970332176,-360.65941029339
304.5,73.3833468087166,-357.289245900776
305,72.7779728437587,-353.955959703283
305.5,72.1890524710831,-350.658484005821
306,71.6161817711592,-347.395779579021
